Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2021,1. Semestre,D320199,10,Aprovado,9,22,A512642218320,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Aprovado,9,22,A893683855461,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Aprovado,9,22,A380683888642,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Aprovado,9,22,A148855320200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Aprovado,9,22,A855200218200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Não Concl.,0,1,A512642218320,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Não Concl.,0,1,A893683855461,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Não Concl.,0,1,A380683888642,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Não Concl.,0,1,A148855320200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Não Concl.,0,1,A855200218200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Reprovado,10,24,A512642218320,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Reprovado,10,24,A893683855461,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Reprovado,10,24,A380683888642,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Reprovado,10,24,A148855320200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Reprovado,10,24,A855200218200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Tr.Parcial,0,1,A512642218320,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Tr.Parcial,0,1,A893683855461,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Tr.Parcial,0,1,A380683888642,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Tr.Parcial,0,1,A148855320200,303,Engenharia Elétrica
2021,1. Semestre,D320199,10,Tr.Parcial,0,1,A855200218200,303,Engenharia Elétrica
2021,1. Semestre,D320199,11,Aprovado,75,18,A218148855402,133,Química - Bacharelado
2021,1. Semestre,D320199,11,CancMatric,4,1,A218148855402,133,Química - Bacharelado
2021,1. Semestre,D320199,11,Dispensado,4,1,A218148855402,133,Química - Bacharelado
2021,1. Semestre,D320199,11,Não Concl.,4,1,A218148855402,133,Química - Bacharelado
2021,1. Semestre,D320199,11,Reprovado,13,3,A218148855402,133,Química - Bacharelado
2021,1. Semestre,D320199,11,Aprovado,100,18,A218148855402,110,Química Industrial
2021,1. Semestre,D320199,12,Aprovado,1,2,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Aprovado,1,2,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Aprovado,1,2,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Aprovado,1,2,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Aprovado,1,2,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,CancMatric,1,2,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,CancMatric,1,2,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,CancMatric,1,2,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,CancMatric,1,2,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,CancMatric,1,2,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Dispensado,1,3,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Dispensado,1,3,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Dispensado,1,3,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Dispensado,1,3,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Dispensado,1,3,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Não Concl.,1,3,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Não Concl.,1,3,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Não Concl.,1,3,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Não Concl.,1,3,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Não Concl.,1,3,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Reprovado,16,40,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Reprovado,16,40,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Reprovado,16,40,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Reprovado,16,40,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Reprovado,16,40,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Tr.Parcial,0,1,A512642218320,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Tr.Parcial,0,1,A893683855461,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Tr.Parcial,0,1,A380683888642,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Tr.Parcial,0,1,A148855320200,304,Engenharia Mecânica
2021,1. Semestre,D320199,12,Tr.Parcial,0,1,A855200218200,304,Engenharia Mecânica
2021,1. Semestre,D320199,13,Aprovado,82,60,A292200218320,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D320199,13,CancMatric,5,4,A292200218320,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D320199,13,Reprovado,12,9,A292200218320,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D320199,14,Aprovado,4,10,A512642218320,302,Engenharia Civil
2021,1. Semestre,D320199,14,Aprovado,4,10,A893683855461,302,Engenharia Civil
2021,1. Semestre,D320199,14,Aprovado,4,10,A380683888642,302,Engenharia Civil
2021,1. Semestre,D320199,14,Aprovado,4,10,A148855320200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Aprovado,4,10,A855200218200,302,Engenharia Civil
2021,1. Semestre,D320199,14,CancMatric,0,1,A512642218320,302,Engenharia Civil
2021,1. Semestre,D320199,14,CancMatric,0,1,A893683855461,302,Engenharia Civil
2021,1. Semestre,D320199,14,CancMatric,0,1,A380683888642,302,Engenharia Civil
2021,1. Semestre,D320199,14,CancMatric,0,1,A148855320200,302,Engenharia Civil
2021,1. Semestre,D320199,14,CancMatric,0,1,A855200218200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Dispensado,1,3,A512642218320,302,Engenharia Civil
2021,1. Semestre,D320199,14,Dispensado,1,3,A893683855461,302,Engenharia Civil
2021,1. Semestre,D320199,14,Dispensado,1,3,A380683888642,302,Engenharia Civil
2021,1. Semestre,D320199,14,Dispensado,1,3,A148855320200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Dispensado,1,3,A855200218200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Não Concl.,2,5,A512642218320,302,Engenharia Civil
2021,1. Semestre,D320199,14,Não Concl.,2,5,A893683855461,302,Engenharia Civil
2021,1. Semestre,D320199,14,Não Concl.,2,5,A380683888642,302,Engenharia Civil
2021,1. Semestre,D320199,14,Não Concl.,2,5,A148855320200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Não Concl.,2,5,A855200218200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Reprovado,12,31,A512642218320,302,Engenharia Civil
2021,1. Semestre,D320199,14,Reprovado,12,31,A893683855461,302,Engenharia Civil
2021,1. Semestre,D320199,14,Reprovado,12,31,A380683888642,302,Engenharia Civil
2021,1. Semestre,D320199,14,Reprovado,12,31,A148855320200,302,Engenharia Civil
2021,1. Semestre,D320199,14,Reprovado,12,31,A855200218200,302,Engenharia Civil
2021,1. Semestre,D320199,15,CancMatric,1,2,A512642218320,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Aprovado,11,29,A512642218320,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Aprovado,11,29,A893683855461,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Aprovado,11,29,A380683888642,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Aprovado,11,29,A148855320200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Aprovado,11,29,A855200218200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,CancMatric,1,2,A893683855461,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,CancMatric,1,2,A380683888642,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,CancMatric,1,2,A148855320200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,CancMatric,1,2,A855200218200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Não Concl.,0,1,A512642218320,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Não Concl.,0,1,A893683855461,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Não Concl.,0,1,A380683888642,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Não Concl.,0,1,A148855320200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Não Concl.,0,1,A855200218200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Reprovado,8,21,A512642218320,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Reprovado,8,21,A893683855461,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Reprovado,8,21,A380683888642,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Reprovado,8,21,A148855320200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,15,Reprovado,8,21,A855200218200,315,Curso de Engenharia Aeroespacial
2021,1. Semestre,D320199,16,Aprovado,53,29,A806200978642,316,Curso de Engenharia de Telecomunicações
2021,1. Semestre,D320199,16,CancMatric,4,2,A806200978642,316,Curso de Engenharia de Telecomunicações
2021,1. Semestre,D320199,16,Não Concl.,9,5,A806200978642,316,Curso de Engenharia de Telecomunicações
2021,1. Semestre,D320199,16,Reprovado,35,19,A806200978642,316,Curso de Engenharia de Telecomunicações
2021,1. Semestre,D320199,17,Dispensado,0,1,A893683855461,305,Engenharia Química
2021,1. Semestre,D320199,17,Aprovado,7,17,A512642218320,305,Engenharia Química
2021,1. Semestre,D320199,17,Aprovado,7,17,A893683855461,305,Engenharia Química
2021,1. Semestre,D320199,17,Aprovado,7,17,A380683888642,305,Engenharia Química
2021,1. Semestre,D320199,17,Aprovado,7,17,A148855320200,305,Engenharia Química
2021,1. Semestre,D320199,17,Aprovado,7,17,A855200218200,305,Engenharia Química
2021,1. Semestre,D320199,17,CancMatric,1,3,A512642218320,305,Engenharia Química
